textbox1,textbox3,textbox4,textbox5,textbox6,textbox55,textbox7,textbox56,textbox8,textbox9
"MARKTGEGEVENS AARDGAS 2015: MARKTAANDELEN ACTIEVE LEVERANCIERS,Sinds 1 januari 2004 bevraagt de VREG maandelijks de netbeheerders met betrekking tot het aantal toegangspunten per leverancier. Gegevens met betrekking tot de geleverde hoeveelheden aardgas per leverancier worden slechts 1 keer per jaar opgevraagd met betrekking tot het voorbije kalenderjaar. De statistieken hebben enkel betrekking op het Vlaamse grondgebied en beperken zich tot de activiteiten op het distributienet.,,Tabel 1: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal aardgasafnemers (toegangspunten),Tabel 2: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal AMR aardgasafnemers (toegangspunten),AMR staat voor automated meter read. Het betreft de grootste aardgasafnemers van wie de meterstanden dagelijks van op afstand worden uitgelezen. Een speciaal aangepaste meter houdt voor elektriciteit het verbruik bij per kwartier en voor gas per uur. Er is hierbij geen tussenkomst van een meteropnemer nodig.,Tabel 3: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal MMR aardgasafnemers (toegangspunten),MMR staat voor monthly meter read. Het betreft de elektriciteitsafnemers van wie de meterstanden maandelijks worden uitgelezen. Meestal is hiervoor de tussenkomst van een meteropnemer nodig.,""Tabel 4: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal jaargelezen, professionele aardgasafnemers (toegangspunten)"",Tabel 5: Marktaandelen actieve leveranciers uitgedrukt in totaal aantal huishoudelijke aardgasafnemers (toegangspunten)"

textbox34,LeverancierNaam,Color1,DatumID,Percentage
"Leverancier,Watz BVBA,0,feb 2015,""0,08%"""
"Leverancier,Watz BVBA,0,jan 2015,""0,07%"""
"Leverancier,Antargaz Belgium NV,1,dec 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,nov 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,okt 2015,""0,15%"""
"Leverancier,Antargaz Belgium NV,1,sep 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,aug 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,jul 2015,""0,14%"""
"Leverancier,Antargaz Belgium NV,1,jun 2015,""0,13%"""
"Leverancier,Antargaz Belgium NV,1,mei 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,apr 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,mrt 2015,""0,12%"""
"Leverancier,Antargaz Belgium NV,1,feb 2015,""0,11%"""
"Leverancier,Antargaz Belgium NV,1,jan 2015,""0,11%"""
"Leverancier,Elexys NV,0,dec 2015,""0,07%"""
"Leverancier,Elexys NV,0,nov 2015,""0,07%"""
"Leverancier,Elexys NV,0,okt 2015,""0,07%"""
"Leverancier,Elexys NV,0,sep 2015,""0,07%"""
"Leverancier,Elexys NV,0,aug 2015,""0,07%"""
"Leverancier,Elexys NV,0,jul 2015,""0,06%"""
"Leverancier,Elexys NV,0,jun 2015,""0,06%"""
"Leverancier,Elexys NV,0,mei 2015,""0,06%"""
"Leverancier,Elexys NV,0,apr 2015,""0,05%"""
"Leverancier,Elexys NV,0,mrt 2015,""0,05%"""
"Leverancier,Elexys NV,0,feb 2015,""0,05%"""
"Leverancier,Elexys NV,0,jan 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,dec 2015,""0,06%"""
"Leverancier,Elindus BVBA,1,nov 2015,""0,06%"""
"Leverancier,Elindus BVBA,1,okt 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,sep 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,aug 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,jul 2015,""0,05%"""
"Leverancier,Elindus BVBA,1,jun 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,mei 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,apr 2015,""0,04%"""
"Leverancier,Elindus BVBA,1,mrt 2015,""0,03%"""
"Leverancier,Elindus BVBA,1,feb 2015,""0,02%"""
"Leverancier,Elindus BVBA,1,jan 2015,""0,02%"""
